iter	Logloss
0	0.6545826117
1	0.6212277905
2	0.5897866201
3	0.5626836129
4	0.5388048454
5	0.5165425761
6	0.4985904062
7	0.4814239224
8	0.4679057087
9	0.4560129986
10	0.4460537928
11	0.4366517413
12	0.4258070304
13	0.4152526165
14	0.4067022159
15	0.4004217274
16	0.3950871988
17	0.3892806931
18	0.3845610387
19	0.3801287062
20	0.3754190321
21	0.3731002875
22	0.3692760892
23	0.3661016581
24	0.3630522032
25	0.3594899566
26	0.357216828
27	0.3548600735
28	0.3526115635
29	0.3511833077
30	0.3494554953
31	0.3474903703
32	0.3455022385
33	0.3437994574
34	0.3428486687
35	0.3411610302
36	0.3401234894
37	0.3382677206
38	0.3371153467
39	0.3359387971
40	0.3347874259
41	0.3336442844
42	0.3327602774
43	0.3313515668
44	0.3304596099
45	0.3294673121
46	0.3287068769
47	0.3278088129
48	0.3269911796
49	0.3263069951
50	0.3254409576
51	0.3245210914
52	0.3235890788
53	0.3230890199
54	0.3225414859
55	0.3218104362
56	0.3212693427
57	0.3207068123
58	0.3201037544
59	0.319438198
60	0.3190079491
61	0.3183695651
62	0.3179086221
63	0.317448043
64	0.3170170848
65	0.3164380559
66	0.3157478132
67	0.3152973133
68	0.3146964428
69	0.3144179908
70	0.3137475831
71	0.3134591056
72	0.3129775983
73	0.3123808836
74	0.3119207554
75	0.3113138974
76	0.3108050492
77	0.3104569928
78	0.3100058179
79	0.309786926
80	0.3093876686
81	0.3091392157
82	0.3089154521
83	0.3085619374
84	0.3082978214
85	0.3080679399
86	0.3078044902
87	0.3076040994
88	0.3073133186
89	0.3070905694
90	0.3068908612
91	0.3067018792
92	0.306417003
93	0.3062709411
94	0.3058389639
95	0.305529781
96	0.3051382134
97	0.3048170527
98	0.3043563661
99	0.3041455546
100	0.3039523081
101	0.3037152021
102	0.3033714417
103	0.303187231
104	0.3030622827
105	0.3027389408
106	0.3025375047
107	0.3023209762
108	0.3017458561
109	0.3014705106
110	0.3012820352
111	0.3011535572
112	0.3009476729
113	0.3006951294
114	0.2998199541
115	0.2996077644
116	0.2994007812
117	0.299173257
118	0.2990144668
119	0.2988324571
120	0.2986239343
121	0.2984352094
122	0.2982118882
123	0.2981040959
124	0.2979263294
125	0.2977195474
126	0.2974840975
127	0.2973214927
128	0.2971707202
129	0.296973008
130	0.2968437037
131	0.2967511886
132	0.2966275786
133	0.2963565184
134	0.2961576898
135	0.2960636629
136	0.2959050811
137	0.2958170617
138	0.2956820109
139	0.2955490972
140	0.2954364393
141	0.2952599701
142	0.295126273
143	0.2950808781
144	0.2947002892
145	0.2945599394
