iter	Passed	Remaining
0	157	157253
1	214	106863
2	236	78631
3	257	64184
4	280	55811
5	304	50395
6	336	47711
7	365	45343
8	390	42944
9	412	40831
10	435	39193
11	459	37811
12	507	38562
13	550	38762
14	591	38872
15	615	37856
16	636	36817
17	656	35829
18	676	34948
19	700	34304
20	721	33644
21	743	33061
22	765	32522
23	786	31985
24	813	31711
25	834	31247
26	858	30939
27	890	30907
28	933	31268
29	965	31233
30	986	30834
31	1008	30503
32	1034	30321
33	1055	29996
34	1092	30117
35	1121	30028
36	1143	29760
37	1191	30173
38	1213	29909
39	1230	29532
40	1255	29375
41	1278	29160
42	1301	28969
43	1322	28734
44	1345	28564
45	1399	29034
46	1443	29271
47	1479	29336
48	1499	29110
49	1522	28930
50	1543	28717
51	1563	28510
52	1587	28357
53	1606	28149
54	1625	27926
55	1650	27817
56	1671	27650
57	1692	27493
58	1712	27307
59	1733	27163
60	1753	26996
61	1773	26831
62	1794	26693
63	1815	26550
64	1830	26337
65	1846	26137
66	1868	26022
67	1889	25900
68	1909	25759
69	1931	25658
70	1949	25504
71	1969	25385
72	1991	25283
73	2010	25153
74	2031	25052
75	2051	24947
76	2072	24846
77	2093	24751
78	2114	24654
79	2135	24553
80	2155	24460
81	2177	24382
82	2198	24288
83	2251	24553
84	2297	24728
85	2339	24868
86	2362	24792
87	2381	24685
88	2407	24645
89	2429	24568
90	2454	24515
91	2475	24431
92	2495	24342
93	2516	24256
94	2538	24181
95	2560	24114
96	2582	24043
97	2601	23945
98	2622	23870
99	2643	23795
100	2665	23726
101	2686	23655
102	2707	23574
103	2726	23489
104	2747	23415
105	2768	23352
106	2790	23286
107	2811	23222
108	2832	23154
109	2854	23096
110	2875	23027
111	2896	22964
112	2918	22906
113	2938	22836
114	2959	22771
115	2979	22703
116	3000	22641
117	3017	22558
118	3037	22487
119	3057	22424
120	3078	22365
121	3100	22311
122	3124	22275
123	3141	22195
124	3163	22147
125	3183	22079
126	3202	22013
127	3224	21964
128	3246	21919
129	3266	21862
130	3287	21810
131	3309	21763
132	3382	22051
133	3434	22194
134	3461	22178
135	3480	22113
136	3501	22056
137	3522	22000
138	3541	21934
139	3563	21889
140	3583	21829
141	3603	21776
142	3626	21734
143	3645	21669
144	3665	21616
145	3687	21570
146	3709	21527
147	3730	21472
148	3748	21408
149	3770	21368
150	3792	21320
151	3812	21270
152	3833	21219
153	3853	21170
154	3876	21135
155	3898	21090
156	3918	21038
157	3938	20987
158	3960	20950
159	3982	20905
160	4002	20860
161	4022	20807
162	4042	20759
163	4063	20714
164	4084	20670
165	4105	20626
166	4126	20582
167	4148	20543
168	4168	20495
169	4188	20450
170	4213	20428
171	4236	20394
172	4256	20347
173	4278	20309
174	4299	20267
175	4324	20247
176	4346	20208
177	4365	20159
178	4386	20119
179	4407	20079
180	4428	20037
181	4476	20121
182	4532	20234
183	4572	20279
184	4594	20239
185	4615	20200
186	4637	20161
187	4658	20121
188	4679	20081
189	4700	20037
190	4719	19990
191	4740	19951
192	4761	19909
193	4786	19887
194	4806	19842
195	4826	19799
196	4849	19766
197	4870	19728
198	4890	19684
199	4911	19647
200	4930	19600
201	4952	19563
202	4973	19524
203	4994	19488
204	5015	19451
205	5036	19412
206	5057	19374
207	5080	19344
208	5103	19316
209	5122	19269
210	5142	19230
211	5162	19189
212	5184	19157
213	5206	19124
214	5229	19094
215	5250	19058
216	5273	19026
217	5295	18995
218	5315	18956
219	5335	18917
220	5357	18884
221	5379	18851
222	5401	18819
223	5420	18778
224	5441	18744
225	5465	18716
226	5486	18684
227	5508	18651
228	5529	18617
229	5565	18632
230	5607	18665
231	5643	18683
232	5681	18701
233	5700	18661
234	5720	18623
235	5742	18588
236	5763	18553
237	5785	18523
238	5805	18486
239	5827	18453
240	5850	18425
241	5890	18451
242	5934	18487
243	5980	18530
244	6004	18502
245	6026	18472
246	6048	18440
247	6071	18409
248	6093	18377
249	6114	18343
250	6134	18304
251	6156	18273
252	6179	18245
253	6200	18210
254	6222	18178
255	6241	18140
256	6263	18109
257	6287	18081
258	6309	18051
259	6331	18020
260	6352	17985
261	6374	17955
262	6408	17958
263	6432	17934
264	6457	17910
265	6485	17896
266	6508	17866
267	6532	17842
268	6566	17845
269	6591	17821
270	6620	17808
271	6643	17781
272	6692	17823
273	6742	17865
274	6775	17863
275	6797	17830
276	6818	17796
277	6840	17766
278	6863	17736
279	6884	17703
280	6905	17668
281	6926	17636
282	6948	17605
283	6970	17573
284	6992	17541
285	7012	17506
286	7031	17469
287	7051	17433
288	7073	17403
289	7096	17374
290	7117	17340
291	7138	17308
292	7158	17272
293	7180	17243
294	7229	17276
295	7274	17301
296	7313	17310
297	7333	17275
298	7355	17245
299	7376	17211
300	7398	17180
301	7425	17162
302	7446	17130
303	7468	17098
304	7489	17066
305	7510	17033
306	7531	17000
307	7552	16969
308	7574	16938
309	7594	16904
310	7617	16876
311	7640	16848
312	7659	16812
313	7679	16777
